token,label,token_length
representation,I,14
.,O,1
This,O,4
article,O,7
describes,O,9
the,O,3
application,O,11
of,O,2
computational,B,13
models,I,6
of,O,2
spatial,B,7
prepositions,I,12
to,O,2
visually,B,8
situated,I,8
dialog,I,6
systems,I,7
.,O,1
In,O,2
these,O,5
dialogs,O,7
",",O,1
spatial,B,7
prepositions,I,12
are,O,3
important,O,9
because,O,7
people,O,6
often,O,5
use,O,3
them,O,4
to,O,2
refer,O,5
to,O,2
entities,B,8
in,O,2
the,O,3
visual,O,6
context,O,7
of,O,2
a,O,1
dialog,O,6
.,O,1
We,O,2
first,O,5
describe,O,8
a,O,1
generic,B,7
architecture,I,12
for,O,3
a,O,1
visually,B,8
situated,I,8
dialog,I,6
system,I,6
and,O,3
highlight,O,9
the,O,3
interactions,O,12
between,O,7
the,O,3
spatial,B,7
cognition,I,9
module,I,6
",",O,1
which,O,5
provides,O,8
the,O,3
interface,B,9
to,O,2
the,O,3
models,B,6
of,O,2
prepositional,B,13
semantics,I,9
",",O,1
and,O,3
the,O,3
other,O,5
components,O,10
in,O,2
the,O,3
architecture,B,12
.,O,1
Following,O,9
this,O,4
",",O,1
we,O,2
present,O,7
two,O,3
new,O,3
computational,B,13
models,I,6
of,O,2
topological,B,11
and,O,3
projective,B,10
spatial,I,7
prepositions,I,12
.,O,1
The,O,3
main,O,4
novelty,O,7
within,O,6
these,O,5
models,B,6
is,O,2
the,O,3
fact,O,4
that,O,4
they,O,4
account,O,7
for,O,3
the,O,3
contextual,B,10
effect,I,6
which,O,5
other,O,5
distractor,B,10
objects,I,7
in,O,2
a,O,1
visual,O,6
scene,O,5
can,O,3
have,O,4
on,O,2
the,O,3
region,O,6
described,O,9
by,O,2
a,O,1
given,O,5
preposition,B,11
.,O,1
We,O,2
next,O,4
present,O,7
psycholinguistic,B,16
tests,I,5
evaluating,O,10
our,O,3
approach,O,8
to,O,2
distractor,B,10
interference,I,12
on,O,2
prepositional,B,13
semantics,I,9
",",O,1
and,O,3
illustrate,O,10
how,O,3
these,O,5
models,B,6
are,O,3
used,O,4
for,O,3
both,O,4
interpretation,O,14
and,O,3
generation,B,10
of,O,2
prepositional,B,13
expressions,I,11
.,O,1
This,O,4
article,O,7
describes,O,9
a,O,1
framework,B,9
for,O,3
incorporating,O,13
referential,B,11
semantic,I,8
information,I,11
from,O,4
a,O,1
world,B,5
model,I,5
or,O,2
ontology,B,8
directly,O,8
into,O,4
a,O,1
probabilistic,B,13
language,I,8
model,I,5
of,O,2
the,O,3
sort,O,4
commonly,O,8
used,O,4
in,O,2
speech,B,6
recognition,I,11
",",O,1
where,O,5
it,O,2
can,O,3
be,O,2
probabilistically,B,17
weighted,I,8
together,O,8
with,O,4
phonological,B,12
and,O,3
syntactic,B,9
factors,I,7
as,O,2
an,O,2
integral,O,8
part,O,4
of,O,2
the,O,3
decoding,B,8
process,I,7
.,O,1
Introducing,O,11
world,B,5
model,I,5
referents,I,9
into,O,4
the,O,3
decoding,B,8
search,I,6
greatly,O,7
increases,O,9
the,O,3
search,B,6
space,I,5
",",O,1
but,O,3
by,O,2
using,O,5
a,O,1
single,O,6
integrated,O,10
phonological,B,12
",",O,1
syntactic,B,9
",",O,1
and,O,3
referential,B,11
semantic,I,8
language,I,8
model,I,5
",",O,1
the,O,3
decoder,B,7
is,O,2
able,O,4
to,O,2
incrementally,O,13
prune,B,5
this,O,4
search,O,6
based,O,5
on,O,2
probabilities,O,13
associated,O,10
with,O,4
these,O,5
combined,O,8
contexts,O,8
.,O,1
The,O,3
result,O,6
is,O,2
a,O,1
single,O,6
unified,O,7
referential,B,11
semantic,I,8
probability,I,11
model,I,5
which,O,5
brings,O,6
several,O,7
kinds,O,5
of,O,2
context,O,7
to,O,2
bear,O,4
in,O,2
speech,B,6
decoding,I,8
",",O,1
and,O,3
performs,O,8
accurate,O,8
recognition,B,11
in,O,2
real,O,4
time,O,4
on,O,2
large,O,5
domains,O,7
in,O,2
the,O,3
absence,O,7
of,O,2
example,O,7
in,B,2
domain,I,6
training,I,8
sentences,I,9
.,O,1
Many,O,4
approaches,O,10
to,O,2
automatic,B,9
sentiment,I,9
analysis,I,8
begin,O,5
with,O,4
a,O,1
large,O,5
lexicon,B,7
of,O,2
words,O,5
marked,O,6
with,O,4
their,O,5
prior,B,5
polarity,I,8
(,O,1
also,O,4
called,O,6
semantic,B,8
orientation,I,11
),O,1
.,O,1
However,O,7
",",O,1
the,O,3
contextual,B,10
polarity,I,8
of,O,2
the,O,3
phrase,O,6
in,O,2
which,O,5
a,O,1
particular,O,10
instance,B,8
of,O,2
a,O,1
word,O,4
appears,O,7
may,O,3
be,O,2
quite,O,5
different,O,9
from,O,4
the,O,3
word,O,4
's,O,2
prior,B,5
polarity,I,8
.,O,1
Positive,O,8
words,O,5
are,O,3
used,O,4
in,O,2
phrases,O,7
expressing,O,10
negative,O,8
sentiments,O,10
",",O,1
or,O,2
vice,O,4
versa,O,5
.,O,1
Also,O,4
",",O,1
quite,O,5
often,O,5
words,O,5
that,O,4
are,O,3
positive,O,8
or,O,2
negative,O,8
out,O,3
of,O,2
context,O,7
are,O,3
neutral,O,7
in,O,2
context,O,7
",",O,1
meaning,O,7
they,O,4
are,O,3
not,O,3
even,O,4
being,O,5
used,O,4
to,O,2
express,O,7
a,O,1
sentiment,O,9
.,O,1
The,O,3
goal,O,4
of,O,2
this,O,4
work,O,4
is,O,2
to,O,2
automatically,O,13
distinguish,O,11
between,O,7
prior,O,5
and,O,3
contextual,B,10
polarity,I,8
",",O,1
with,O,4
a,O,1
focus,O,5
on,O,2
understanding,O,13
which,O,5
features,B,8
are,O,3
important,O,9
for,O,3
this,O,4
task,B,4
.,O,1
Because,O,7
an,O,2
important,O,9
aspect,O,6
of,O,2
the,O,3
problem,O,7
is,O,2
identifying,O,11
when,O,4
polar,B,5
terms,I,5
are,O,3
being,O,5
used,O,4
in,O,2
neutral,O,7
contexts,O,8
",",O,1
features,B,8
for,O,3
distinguishing,O,14
between,O,7
neutral,O,7
and,O,3
polar,B,5
instances,I,9
are,O,3
evaluated,O,9
",",O,1
as,O,2
well,O,4
as,O,2
features,B,8
for,O,3
distinguishing,O,14
between,O,7
positive,O,8
and,O,3
negative,B,8
contextual,I,10
polarity,I,8
.,O,1
The,O,3
evaluation,O,10
includes,O,8
assessing,O,9
the,O,3
performance,O,11
of,O,2
features,B,8
across,O,6
multiple,O,8
machine,B,7
learning,I,8
algorithms,I,10
.,O,1
For,O,3
all,O,3
learning,B,8
algorithms,I,10
except,O,6
one,O,3
",",O,1
the,O,3
combination,O,11
of,O,2
all,O,3
features,B,8
together,O,8
gives,O,5
the,O,3
best,O,4
performance,O,11
.,O,1
Another,O,7
facet,O,5
of,O,2
the,O,3
evaluation,O,10
considers,O,9
how,O,3
the,O,3
presence,O,8
of,O,2
neutral,B,7
instances,I,9
affects,O,7
the,O,3
performance,O,11
of,O,2
features,B,8
for,O,3
distinguishing,O,14
between,O,7
positive,O,8
and,O,3
negative,B,8
polarity,I,8
.,O,1
These,O,5
experiments,O,11
show,O,4
that,O,4
the,O,3
presence,O,8
of,O,2
neutral,B,7
instances,I,9
greatly,O,7
degrades,B,8
the,O,3
performance,O,11
of,O,2
these,O,5
features,B,8
",",O,1
and,O,3
that,O,4
perhaps,O,7
the,O,3
best,O,4
way,O,3
to,O,2
improve,O,7
performance,O,11
across,O,6
all,O,3
polarity,B,8
classes,I,7
is,O,2
to,O,2
improve,O,7
the,O,3
system,O,6
's,O,2
ability,O,7
to,O,2
identify,O,8
when,O,4
an,O,2
instance,B,8
is,O,2
neutral,O,7
.,O,1
There,O,5
is,O,2
growing,O,7
interest,O,8
in,O,2
using,O,5
automatically,B,13
computed,I,8
corpus,I,6
based,I,5
evaluation,I,10
metrics,I,7
to,O,2
evaluate,O,8
Natural,B,7
Language,I,8
Generation,I,10
(,O,1
NLG,B,3
),O,1
systems,O,7
",",O,1
because,O,7
these,O,5
are,O,3
often,O,5
considerably,O,12
cheaper,O,7
than,O,4
the,O,3
human,O,5
based,O,5
evaluations,O,11
which,O,5
have,O,4
traditionally,O,13
been,O,4
used,O,4
in,O,2
NLG,B,3
.,O,1
We,O,2
review,O,6
previous,O,8
work,O,4
on,O,2
NLG,B,3
evaluation,I,10
and,O,3
on,O,2
validation,B,10
of,O,2
automatic,B,9
metrics,I,7
in,O,2
NLP,B,3
",",O,1
and,O,3
then,O,4
present,O,7
the,O,3
results,O,7
of,O,2
two,O,3
studies,O,7
of,O,2
how,O,3
well,O,4
some,O,4
metrics,B,7
which,O,5
are,O,3
popular,O,7
in,O,2
other,O,5
areas,O,5
of,O,2
NLP,B,3
(,O,1
notably,O,7
BLEU,B,4
and,O,3
ROUGE,B,5
),O,1
correlate,O,9
with,O,4
human,O,5
judgments,O,9
in,O,2
the,O,3
domain,O,6
of,O,2
computer,O,8
generated,O,9
weather,O,7
forecasts,O,9
.,O,1
Our,O,3
results,O,7
suggest,O,7
that,O,4
",",O,1
at,O,2
least,O,5
in,O,2
this,O,4
domain,O,6
",",O,1
metrics,B,7
may,O,3
provide,O,7
a,O,1
useful,O,6
measure,B,7
of,O,2
language,B,8
quality,I,7
",",O,1
although,O,8
the,O,3
evidence,O,8
for,O,3
this,O,4
is,O,2
not,O,3
as,O,2
strong,O,6
as,O,2
we,O,2
would,O,5
ideally,O,7
like,O,4
to,O,2
see,O,3
;,O,1
however,O,7
",",O,1
they,O,4
do,O,2
not,O,3
provide,O,7
a,O,1
useful,O,6
measure,B,7
of,O,2
content,O,7
quality,O,7
.,O,1
We,O,2
also,O,4
discuss,O,7
a,O,1
number,O,6
of,O,2
caveats,O,7
which,O,5
must,O,4
be,O,2
kept,O,4
in,O,2
mind,O,4
when,O,4
interpreting,O,12
this,O,4
and,O,3
other,O,5
validation,B,10
studies,I,7
.,O,1
We,O,2
introduce,O,9
a,O,1
generative,B,10
probabilistic,I,13
model,I,5
",",O,1
the,O,3
noisy,B,5
channel,I,7
model,I,5
",",O,1
for,O,3
unsupervised,B,12
word,I,4
sense,I,5
disambiguation,I,14
.,O,1
In,O,2
our,O,3
model,O,5
",",O,1
each,O,4
context,O,7
C,O,1
is,O,2
modeled,O,7
as,O,2
a,O,1
distinct,O,8
channel,O,7
through,O,7
which,O,5
the,O,3
speaker,O,7
intends,O,7
to,O,2
transmit,O,8
a,O,1
particular,O,10
meaning,O,7
S,O,1
using,O,5
a,O,1
possibly,O,8
ambiguous,B,9
word,I,4
W.,O,2
To,O,2
reconstruct,O,11
the,O,3
intended,O,8
meaning,O,7
the,O,3
hearer,O,6
uses,O,4
the,O,3
distribution,O,12
of,O,2
possible,O,8
meanings,O,8
in,O,2
the,O,3
given,O,5
context,O,7
P(S|C,O,5
),O,1
and,O,3
possible,O,8
words,O,5
that,O,4
can,O,3
express,O,7
each,O,4
meaning,O,7
P(W|S,O,5
),O,1
.,O,1
We,O,2
assume,O,6
P(W|S,O,5
),O,1
is,O,2
independent,O,11
of,O,2
the,O,3
context,O,7
and,O,3
estimate,O,8
it,O,2
using,O,5
WordNet,B,7
sense,I,5
frequencies,I,11
.,O,1
The,O,3
main,O,4
problem,O,7
of,O,2
unsupervised,B,12
WSD,I,3
is,O,2
estimating,O,10
context,B,7
-,I,1
dependent,I,9
P(S|C,O,5
),O,1
without,O,7
access,O,6
to,O,2
any,O,3
sense,B,5
-,I,1
tagged,I,6
text,I,4
.,O,1
We,O,2
show,O,4
one,O,3
way,O,3
to,O,2
solve,O,5
this,O,4
problem,O,7
using,O,5
a,O,1
statistical,B,11
language,I,8
model,I,5
based,O,5
on,O,2
large,O,5
amounts,O,7
of,O,2
untagged,B,8
text,I,4
.,O,1
Our,O,3
model,O,5
uses,O,4
coarse,B,6
-,I,1
grained,I,7
semantic,I,8
classes,I,7
for,O,3
S,O,1
internally,O,10
and,O,3
we,O,2
explore,O,7
the,O,3
effect,O,6
of,O,2
using,O,5
different,O,9
levels,O,6
of,O,2
granularity,B,11
on,O,2
WSD,B,3
performance,I,11
.,O,1
The,O,3
system,O,6
outputs,O,7
fine,B,4
-,I,1
grained,I,7
senses,I,6
for,O,3
evaluation,O,10
",",O,1
and,O,3
its,O,3
performance,O,11
on,O,2
noun,B,4
disambiguation,I,14
is,O,2
better,O,6
than,O,4
most,O,4
previously,O,10
reported,O,8
unsupervised,B,12
systems,I,7
and,O,3
close,O,5
to,O,2
the,O,3
best,O,4
supervised,B,10
systems,I,7
.,O,1
Newly,B,5
coined,I,6
words,I,5
pose,O,4
problems,O,8
for,O,3
natural,B,7
language,I,8
processing,I,10
systems,I,7
because,O,7
they,O,4
are,O,3
not,O,3
in,O,2
a,O,1
system,O,6
's,O,2
lexicon,B,7
",",O,1
and,O,3
therefore,O,9
no,O,2
lexical,B,7
information,I,11
is,O,2
available,O,9
for,O,3
such,O,4
words,O,5
.,O,1
A,O,1
common,O,6
way,O,3
to,O,2
form,O,4
new,O,3
words,O,5
is,O,2
lexical,B,7
blending,I,8
",",O,1
as,O,2
in,O,2
cosmeceutical,O,13
",",O,1
a,O,1
blend,O,5
of,O,2
cosmetic,O,8
and,O,3
pharmaceutical,O,14
.,O,1
We,O,2
propose,O,7
a,O,1
statistical,B,11
model,I,5
for,O,3
inferring,B,9
a,O,1
blend,B,5
's,O,2
source,B,6
words,I,5
drawing,O,7
on,O,2
observed,O,8
linguistic,B,10
properties,I,10
of,O,2
blends,O,6
;,O,1
these,O,5
properties,O,10
are,O,3
largely,O,7
based,O,5
on,O,2
the,O,3
recognizability,B,15
of,O,2
the,O,3
source,B,6
words,I,5
in,O,2
a,O,1
blend,B,5
.,O,1
We,O,2
annotate,B,8
a,O,1
set,O,3
of,O,2
"1,186",O,5
recently,O,8
coined,B,6
expressions,I,11
which,O,5
includes,O,8
515,O,3
blends,O,6
",",O,1
and,O,3
evaluate,O,8
our,O,3
methods,O,7
on,O,2
a,O,1
324,O,3
-,O,1
item,O,4
subset,O,6
.,O,1
In,O,2
this,O,4
first,O,5
study,O,5
of,O,2
novel,O,5
blends,O,6
we,O,2
achieve,O,7
an,O,2
accuracy,O,8
of,O,2
40,O,2
%,O,1
on,O,2
the,O,3
task,O,4
of,O,2
inferring,B,9
a,O,1
blend,B,5
's,O,2
source,B,6
words,I,5
",",O,1
which,O,5
corresponds,O,11
to,O,2
a,O,1
reduction,O,9
in,O,2
error,B,5
rate,I,4
of,O,2
39,O,2
%,O,1
over,O,4
an,O,2
informed,B,8
baseline,I,8
.,O,1
We,O,2
also,O,4
give,O,4
preliminary,O,11
results,O,7
showing,O,7
that,O,4
our,O,3
features,O,8
for,O,3
source,B,6
word,I,4
identification,I,14
can,O,3
be,O,2
used,O,4
to,O,2
distinguish,O,11
blends,B,6
from,O,4
other,O,5
kinds,O,5
of,O,2
novel,B,5
words,I,5
.,O,1
We,O,2
present,O,7
an,O,2
approach,O,8
to,O,2
the,O,3
automatic,B,9
creation,I,8
of,O,2
extractive,B,10
summaries,I,9
of,O,2
literary,O,8
short,O,5
stories,O,7
.,O,1
The,O,3
summaries,O,9
are,O,3
produced,O,8
with,O,4
a,O,1
specific,O,8
objective,O,9
in,O,2
mind,O,4
:,O,1
to,O,2
help,O,4
a,O,1
reader,O,6
decide,O,6
whether,O,7
she,O,3
would,O,5
be,O,2
interested,O,10
in,O,2
reading,O,7
the,O,3
complete,O,8
story,O,5
.,O,1
To,O,2
this,O,4
end,O,3
",",O,1
the,O,3
summaries,O,9
give,O,4
the,O,3
user,O,4
relevant,O,8
information,O,11
about,O,5
the,O,3
setting,O,7
of,O,2
the,O,3
story,O,5
without,O,7
revealing,O,9
its,O,3
plot,O,4
.,O,1
The,O,3
system,O,6
relies,O,6
on,O,2
assorted,O,8
surface,B,7
indicators,I,10
about,O,5
clauses,B,7
in,O,2
the,O,3
short,O,5
story,O,5
",",O,1
the,O,3
most,O,4
important,O,9
of,O,2
which,O,5
are,O,3
those,O,5
related,O,7
to,O,2
the,O,3
aspectual,B,9
type,I,4
of,O,2
a,O,1
clause,B,6
and,O,3
to,O,2
the,O,3
main,O,4
entities,B,8
in,O,2
a,O,1
story,O,5
.,O,1
Fifteen,O,7
judges,O,6
evaluated,O,9
the,O,3
summaries,O,9
on,O,2
a,O,1
number,O,6
of,O,2
extrinsic,B,9
and,I,3
intrinsic,I,9
measures,I,8
.,O,1
The,O,3
outcome,O,7
of,O,2
this,O,4
evaluation,O,10
suggests,O,8
that,O,4
the,O,3
summaries,O,9
are,O,3
helpful,O,7
in,O,2
achieving,O,9
the,O,3
original,O,8
objective,O,9
Generating,O,10
responses,O,9
that,O,4
take,O,4
user,O,4
preferences,O,11
into,O,4
account,O,7
requires,O,8
adaptation,O,10
at,O,2
all,O,3
levels,O,6
of,O,2
the,O,3
generation,B,10
process,I,7
.,O,1
This,O,4
article,O,7
describes,O,9
a,O,1
multi,B,5
-,I,1
level,I,5
approach,I,8
to,O,2
presenting,O,10
user,B,4
-,I,1
tailored,I,8
information,I,11
in,O,2
spoken,B,6
dialogues,I,9
which,O,5
brings,O,6
together,O,8
for,O,3
the,O,3
first,O,5
time,O,4
multi,B,5
-,I,1
attribute,I,9
decision,I,8
models,I,6
",",O,1
strategic,B,9
content,I,7
planning,I,8
",",O,1
surface,B,7
realization,I,11
that,O,4
incorporates,O,12
prosody,B,7
prediction,I,10
",",O,1
and,O,3
unit,B,4
selection,I,9
synthesis,I,9
that,O,4
takes,O,5
the,O,3
resulting,O,9
prosodic,B,8
structure,I,9
into,O,4
account,O,7
.,O,1
The,O,3
system,O,6
selects,O,7
the,O,3
most,O,4
important,O,9
options,O,7
to,O,2
mention,O,7
and,O,3
the,O,3
attributes,O,10
that,O,4
are,O,3
most,O,4
relevant,O,8
to,O,2
choosing,O,8
between,O,7
them,O,4
",",O,1
based,O,5
on,O,2
the,O,3
user,B,4
model,I,5
.,O,1
Multiple,O,8
options,O,7
are,O,3
selected,O,8
when,O,4
each,O,4
offers,O,6
a,O,1
compelling,O,10
trade,B,5
-,I,1
off,I,3
.,O,1
To,O,2
convey,O,6
these,O,5
trade,B,5
-,I,1
offs,I,4
",",O,1
the,O,3
system,O,6
employs,O,7
a,O,1
novel,B,5
presentation,I,12
strategy,I,8
which,O,5
straightforwardly,O,17
lends,O,5
itself,O,6
to,O,2
the,O,3
determination,O,13
of,O,2
information,B,11
structure,I,9
",",O,1
as,O,2
well,O,4
as,O,2
the,O,3
contents,O,8
of,O,2
referring,B,9
expressions,I,11
.,O,1
During,O,6
surface,B,7
realization,I,11
",",O,1
the,O,3
prosodic,B,8
structure,I,9
is,O,2
derived,O,7
from,O,4
the,O,3
information,B,11
structure,I,9
using,O,5
Combinatory,B,11
Categorial,I,10
Grammar,I,7
in,O,2
a,O,1
way,O,3
that,O,4
allows,O,6
phrase,B,6
boundaries,I,10
to,O,2
be,O,2
determined,O,10
